2020年03月01日罗马天气,小雨,16℃,87% 非常潮湿
2020年03月02日罗马天气,大雨,17℃,90% 非常潮湿
2020年03月03日罗马天气,暴雨,13℃,74% 
2020年03月04日罗马天气,小雨,15℃,83% 非常潮湿
2020年03月05日罗马天气,阴,15℃,84% 非常潮湿
2020年03月06日罗马天气,大雨,15℃,90% 非常潮湿
2020年03月07日罗马天气,中雨,16℃,82% 非常潮湿
2020年03月08日罗马天气,多云,15℃,79% 非常潮湿
2020年03月09日罗马天气,小雨,14℃,81% 非常潮湿
2020年03月10日罗马天气,阴,15℃,83% 非常潮湿
2020年03月11日罗马天气,多云,18℃,79% 非常潮湿
2020年03月12日罗马天气,多云,19℃,84% 非常潮湿
2020年03月13日罗马天气,阴,18℃,85% 非常潮湿
2020年03月14日罗马天气,阴,18℃,89% 非常潮湿
2020年03月15日罗马天气,小雨,18℃,87% 非常潮湿
2020年03月16日罗马天气,多云,18℃,73% 潮湿
2020年03月17日罗马天气,阴,19℃,84% 非常潮湿
2020年03月18日罗马天气,阴,20℃,84% 非常潮湿
2020年03月19日罗马天气,晴,20℃,83% 非常潮湿
2020年03月20日罗马天气,多云,19℃,74% 
2020年03月21日罗马天气,阴,20℃,77% 非常潮湿
2020年03月22日罗马天气,小雨,19℃,81% 非常潮湿
2020年03月23日罗马天气,阴,15℃,79% 非常潮湿
2020年03月24日罗马天气,阴,11℃,63% 潮湿
2020年03月25日罗马天气,阴,13℃,76% 非常潮湿
2020年03月26日罗马天气,中雨,17℃,74% 潮湿
2020年03月27日罗马天气,小雨,16℃,79% 非常潮湿
2020年03月28日罗马天气,小雨,18℃,92% 非常潮湿
2020年03月29日罗马天气,小雨,18℃,88% 非常潮湿
2020年03月30日罗马天气,阴,18℃,88% 非常潮湿
2020年03月31日罗马天气,阴,15℃,88% 非常潮湿
2020年04月01日罗马天气,多云,12℃,60% 湿润
2020年04月02日罗马天气,多云,13℃,77% 非常潮湿
2020年04月03日罗马天气,阴,17℃,79% 非常潮湿
2020年04月04日罗马天气,晴,19℃,77% 非常潮湿
2020年04月05日罗马天气,多云,19℃,70% 潮湿
2020年04月06日罗马天气,阴,21℃,71% 潮湿
2020年04月07日罗马天气,小雨,21℃,84% 非常潮湿
2020年04月08日罗马天气,中雨,19℃,88% 非常潮湿
2020年04月09日罗马天气,中雨,21℃,82% 非常潮湿
2020年04月10日罗马天气,晴,21℃,87% 非常潮湿
2020年04月11日罗马天气,晴,23℃,80% 非常潮湿
2020年04月12日罗马天气,晴,22℃,77% 非常潮湿
2020年04月13日罗马天气,阴,21℃,68% 潮湿
2020年04月14日罗马天气,阴,13℃,58% 湿润
2020年04月15日罗马天气,晴,15℃,62% 潮湿
2020年04月16日罗马天气,多云,16℃,64% 潮湿
2020年04月17日罗马天气,阴,17℃,59% 湿润
2020年04月18日罗马天气,阴,16℃,60% 湿润
2020年04月19日罗马天气,阴,15℃,66% 潮湿
2020年04月23日罗马天气,中雨,22℃,91% 非常潮湿
2020年04月24日罗马天气,晴,22℃,85% 非常潮湿
2020年04月25日罗马天气,多云,21℃,82% 非常潮湿
2020年04月26日罗马天气,阴,22℃,84% 非常潮湿
2020年04月27日罗马天气,晴,23℃,80% 非常潮湿
2020年04月28日罗马天气,小雨,21℃,84% 非常潮湿
2020年04月29日罗马天气,小雨,20℃,86% 非常潮湿
