城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,京开高速,京开高速-K8,8050.072532,7374.730876,27.013666,648.327989
110000,北京,G3京台高速,,7411.067194,6935.294979,54.896794,420.875421
330100,杭州,S2杭甬高速,S2杭甬高速-K20,6448.020165,5656.672235,0.0,791.347929
120000,天津,S4津港高速,S4津港高速-K11,5889.281508,4998.465817,49.489761,841.32593
110000,北京,G3京台高速,,5874.72507,5253.819168,71.642989,549.262913
340700,null,G3京台高速,G3京台高速-K1179,5797.988794,5612.453152,46.38391,139.151731
120000,天津,S5荣乌联络线,,5464.794115,4891.563963,114.64603,458.584122
330100,杭州,S2杭甬高速,S2杭甬高速-K19,4900.601017,4322.699954,23.116043,554.785021
610400,咸阳,机场高速,G70福银高速-K1699,4870.34132,4445.602252,28.315938,396.423131
110000,北京,S15京津高速,G1京津高速-K33,4792.59054,2983.339492,327.204977,1482.04607
610100,西安,G3023西兴高速,,4679.365653,3746.50176,15.046192,917.8177
510100,成都,S57城北出口高速,,4410.512414,3714.115717,85.522401,610.874296
350100,福州,G1523甬莞高速,G70福银高速-K18,4406.86041,3454.025727,59.552168,893.282515
110000,北京,G1京哈高速,G1京哈高速-K8,4325.768864,3870.424773,125.612163,329.731928
320100,南京,S55宁宣高速,S55宁宣高速-K27,4173.367628,3378.856218,139.694314,654.817096
130100,石家庄,S071西柏坡高速,S071西柏坡高速-K9,4033.897754,2797.703281,97.5943,1138.600172
610100,西安,S3011绕城高速联络线,,3999.418834,3296.395992,15.62273,687.400112
371000,null,G18荣乌高速,,3948.007775,3112.852284,75.923226,759.232264
120000,天津,S5荣乌联络线,,3831.784654,3057.27499,142.672833,631.836831
350100,福州,G1523甬莞高速,G70福银高速-K18,3830.136159,3452.517101,53.94558,323.673478
440400,珠海,G0425广澳高速,,2329.075883,66.783538,8.347942,2253.944403
320500,苏州,S48沪宜高速,S48沪宜高速-K13,1710.132535,0.0,0.0,1710.132535
440100,广州,S81广州环城高速,S81广州环城高速-K29,1463.672591,637.405806,23.607622,802.659163
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1383.988275,29.136595,14.568298,1340.283383
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1198.737652,122.048894,7.250429,1069.438329
350100,福州,S81机场高速,S1531机场高速-K50,1125.999324,0.0,0.0,1125.999324
440100,广州,S81广州环城高速,S81广州环城高速-K29,1099.117936,372.142293,8.654472,718.321171
610100,西安,S3011绕城高速联络线,,1065.17759,72.056131,3.132875,989.988584
520600,null,S25沿榕高速,,1020.300195,680.20013,0.0,340.100065
110000,北京,G7京新高速,G7京新高速-K3,934.860852,449.312968,5.435238,480.112647
440100,广州,S4华南快速,,851.868754,9.259443,1.322778,841.286533
350100,福州,S52福州南连接线,,844.807774,539.680642,6.227084,298.900048
440100,广州,S81广州环城高速,S81广州环城高速-K29,830.796559,248.827682,7.197495,574.771382
310000,上海,G60沪昆高速,,754.472178,192.083468,1.980242,560.408468
441900,东莞,G9411莞佛高速,G9411莞佛高速-K38,714.210419,352.0128,2.546205,359.651414
310000,上海,S20外环高速,S20外环高速-K52,705.381696,150.99914,17.257045,537.125511
350100,福州,G1505福州绕城高速,,693.406214,8.456173,16.912347,668.037694
110000,北京,G6京藏高速,G6京藏高速-K53,645.368306,66.346274,428.235044,150.786987
500000,重庆,G75兰海高速,G75兰海高速-K983,644.030049,254.495745,5.193791,384.340513
370200,青岛,G22青兰高速,G22青兰高速胶州湾大桥-K34,629.948365,3.442341,0.0,626.506024
440400,珠海,S47广佛江珠高速,,9846.076023,9213.759214,0.0,632.316809
510100,成都,S57城北出口高速,,8217.262705,7657.972573,21.511159,537.778973
420100,武汉,常青立交,G42沪蓉高速-K834,7387.706856,6279.550827,0.0,1108.156028
330100,杭州,紫金港枢纽,G2501杭州绕城高速-K87,6937.642834,5985.417347,204.048319,748.177168
110000,北京,通燕高速,通燕高速-K29,6527.553867,6011.421701,121.442863,394.689304
340200,芜湖,G5011芜合高速,G5011芜合高速-K6,6013.386321,5333.612215,104.580632,575.193474
510100,成都,S1成万高速,,5690.163168,5302.874575,59.58286,327.705732
110000,北京,G1京哈高速,G1京哈高速-K8,5391.996195,2377.876749,64.266939,2949.852507
110000,北京,怀柔桥,S11京承高速-K42,5248.825364,4374.021136,84.658474,790.145754
440100,广州,土华立交桥,S81广州环城高速-K35,5137.0593,3964.701368,149.209191,1023.14874
330100,杭州,G25长深高速,G25长深高速-K2289,5012.369234,4392.560135,53.896443,565.912655
440100,广州,S81广州环城高速,S81广州环城高速-K60,4856.604754,3990.168225,136.805768,729.630761
320100,南京,G40沪陕高速,G40沪陕高速-K397,4767.073457,4302.589377,24.446531,440.03755
510100,成都,白家立交,G4201成都绕城高速-K42,4534.769652,3627.815722,74.037056,832.916875
370100,济南,G2京沪高速,G2京沪高速-K401,4496.053277,3932.638079,45.073216,518.341982
310000,上海,G2京沪高速,G2京沪高速-K1215,4446.13119,3709.203369,49.128521,687.7993
440300,深圳,G4京港澳高速,,4424.609363,3207.057283,25.104167,1192.447914
510100,成都,G42沪蓉高速,,4260.976275,3077.642292,102.263431,1081.070552
310000,上海,迎宾立交桥,G1501上海绕城高速-K36,4201.872574,2786.024206,319.707696,1096.140671
130200,唐山,唐港高速,唐港高速-K3,4186.54217,3108.190399,31.716229,1046.635542
440400,珠海,金台立交,S32西部沿海高速-K22,6817.00936,6080.035375,61.414499,675.559486
310000,上海,S7沪崇高速出口,S20外环高速-K84,6699.328714,270.679948,5684.278909,744.369857
441900,东莞,S6广龙高速出口,G4京港澳高速-K2215,5844.155844,4437.229437,1190.47619,216.450216
