城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
370700,潍坊,G20青银高速,G20青银高速-K135,52.684434,52.220935,0.463499,0.0
120000,天津,S2津宁高速,S2津宁高速-K37,46.11133,44.472957,1.638373,0.0
441600,null,G35济广高速,,45.567207,45.28122,0.285987,0.0
341800,null,S81宣城绕城高速,S32宣铜高速-K24,42.594313,42.594313,0.0,0.0
130200,唐山,G95首都环线高速,,42.314286,39.742857,2.571429,0.0
440700,江门,G2518深岑高速,,41.294743,41.294743,0.0,0.0
533100,null,S90腾瑞高速,,40.466926,40.272374,0.194553,0.0
440700,江门,G2518深岑高速,,40.457256,40.457256,0.0,0.0
510700,绵阳,G93成渝环线高速,G93成渝环线高速-K163,40.251572,38.499551,1.752022,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K118,40.095887,39.212718,0.883169,0.0
